hora,milp_gen_total,pddl_gen_total,demanda,diff_gen_total
0,700.0,700,700.0,0.0
1,680.0,680,680.0,0.0
2,660.0,660,660.0,0.0
3,650.0,650,650.0,0.0
4,640.0,640,640.0,0.0
5,650.0,650,650.0,0.0
6,680.0,680,680.0,0.0
7,720.0,720,720.0,0.0
8,780.0,780,780.0,0.0
9,820.0,820,820.0,0.0
10,840.0,840,840.0,0.0
11,850.0,850,850.0,0.0
12,830.0,830,830.0,0.0
13,820.0,820,820.0,0.0
14,810.0,810,810.0,0.0
15,820.0,820,820.0,0.0
16,860.0,860,860.0,0.0
17,900.0,900,900.0,0.0
18,940.0,940,940.0,0.0
19,960.0,960,960.0,0.0
20,930.0,930,930.0,0.0
21,880.0,880,880.0,0.0
22,820.0,820,820.0,0.0
23,760.0,760,760.0,0.0
