hour,PV_gen_MW,Hydro_gen_MW,Thermal_gen_MW,Demand_MW
0,0.0,450.0,250.0,700.0
1,0.0,450.0,230.0,680.0
2,0.0,450.0,210.0,660.0
3,0.0,450.0,200.0,650.0
4,0.0,450.0,190.0,640.0
5,0.0,450.0,200.0,650.0
6,20.0,450.0,210.0,680.0
7,60.0,450.0,210.0,720.0
8,140.0,450.0,190.0,780.0
9,220.0,450.0,150.0,820.0
10,270.0,450.0,120.0,840.0
11,295.0,450.0,105.0,850.0
12,300.0,450.0,80.0,830.0
13,290.0,450.0,80.0,820.0
14,260.0,450.0,100.0,810.0
15,210.0,450.0,160.0,820.0
16,150.0,450.0,260.0,860.0
17,80.0,450.0,370.0,900.0
18,20.0,450.0,470.0,940.0
19,0.0,450.0,510.0,960.0
20,0.0,450.0,480.0,930.0
21,0.0,450.0,430.0,880.0
22,0.0,450.0,370.0,820.0
23,0.0,450.0,310.0,760.0
