hour,PV_gen_MW,Hydro_gen_MW,Thermal_gen_MW,Demand_MW
0,0.0,450.0,320.0,770.0
1,0.0,450.0,298.0,748.0
2,0.0,450.0,276.0,726.0
3,0.0,450.0,265.0,715.0
4,0.0,450.0,254.0,704.0
5,0.0,450.0,265.0,715.0
6,0.0,450.0,298.0,748.0
7,2.13999999999999,450.0,339.86,792.0
8,4.28999999999996,450.0,403.71,858.0
9,6.42999999999995,450.0,445.57,902.0
10,8.57000000000005,450.0,465.43,924.0
11,10.71,450.0,474.29,935.0
12,12.86,331.426666666667,568.713333333333,913.0
13,15.0,218.286666666667,668.713333333333,902.0
14,12.5,109.786666666667,768.713333333333,891.0
15,10.0,92.0,800.0,902.0
16,7.5,138.5,800.0,946.0
17,5.0,250.0,735.0,990.0
18,2.5,450.0,675.5,1128.0
19,0.0,450.0,702.0,1152.0
20,0.0,410.0,706.0,1116.0
21,0.0,450.0,606.0,1056.0
22,0.0,450.0,534.0,984.0
23,0.0,250.0,586.0,836.0
